date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2001-08-26,13.5,0.0125,0.764,0.0019,0.0445,0.0034,0.0459,0.0367,0.0013,0.0013,0.317,0.0982,0.00445,0.00175,0.00095,3.96,5.544,0.113,0.0017,0.0521,0.289,2.76,0.0137,0.556,0.0019,0.0215
2001-08-29,21.0,0.0125,3.04,0.0019,0.0445,0.00402,0.0866,0.0075,0.0013,0.00348,0.51,0.0999,0.00445,0.0126,0.00095,4.58,6.412,0.0425,0.0017,0.121,0.0497,9.51,0.0139,0.594,0.0019,0.0241
2001-09-01,8.7,0.0125,1.06,0.0019,0.0445,0.0016,0.0169,0.0075,0.0013,0.0013,0.381,0.0298,0.00445,0.00175,0.00095,2.94,4.116,0.0546,0.0017,0.0378,0.0989,3.45,0.00265,0.421,0.0019,0.00692
2001-09-04,22.4,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
2001-09-10,8.5,0.0125,0.791,0.0019,0.0445,0.00335,0.0587,0.0075,0.0013,0.00409,0.552,0.211,0.00445,0.00631,0.00197,2.66,3.724,0.0638,0.00405,0.0597,0.269,3.64,0.0074,0.476,0.0019,0.0458
2001-09-13,19.1,0.0125,2.04,0.0019,0.0445,0.00577,0.0921,0.0075,0.0013,0.00542,1.61,0.236,0.00445,0.00582,0.00214,6.59,9.226,0.0687,0.0017,0.09,0.252,6.17,0.00671,0.879,0.00586,0.0274
2001-09-16,7.2,0.0125,0.307,0.0019,0.0445,0.0016,0.0273,0.0075,0.0013,0.00336,0.458,0.0766,0.00445,0.00175,0.00095,3.62,5.068,0.0577,0.0017,0.0429,0.0788,1.4,0.00265,0.514,0.0019,0.01
2001-09-19,17.5,0.0125,2.52,0.0019,0.0445,0.007,0.0449,0.0075,0.0013,0.003,0.837,0.0922,0.00445,0.00175,0.00095,4.38,6.132,0.0668,0.0017,0.0901,0.668,7.15,0.00626,2.28,0.00389,0.0183
2001-09-22,21.0,0.0125,2.99,0.0019,0.0445,0.00414,0.0427,0.0075,0.0013,0.00327,0.563,0.0802,0.00445,0.0041,0.00095,5.18,7.252,0.0507,0.0017,0.079,0.144,9.6,0.00556,1.99,0.0019,0.0112
2001-09-25,4.2,0.0125,0.535,0.0019,0.0445,0.0016,0.0182,0.0075,0.0013,0.0013,0.323,0.0317,0.00445,0.00175,0.00095,1.79,2.506,0.012,0.0017,0.0232,0.0881,2.14,0.00265,0.323,0.0019,0.00379
2001-09-28,6.5,0.0125,0.711,0.0019,0.0445,0.0016,0.0211,0.0075,0.0013,0.0013,0.666,0.0515,0.00445,0.00175,0.00095,2.01,2.814,0.012,0.0017,0.03,0.0881,2.43,0.00265,0.608,0.0019,0.00556
2001-10-04,26.8,0.0125,2.8,0.00589,0.0445,0.00711,0.116,0.0075,0.0013,0.00669,1.68,0.246,0.00909,0.00499,0.00198,7.71,10.794,0.114,0.0017,0.181,1.61,8.55,0.0141,1.8,0.00494,0.082
2001-10-07,5.0,0.0125,0.635,0.0019,0.0445,0.0016,0.0227,0.0075,0.0013,0.0013,0.125,0.0302,0.00445,0.00175,0.00095,2.25,3.15,0.0368,0.0017,0.037,0.342,1.99,0.00265,0.28,0.0019,0.00363
2001-10-10,9.2,0.0125,0.147,0.0019,0.0445,0.00428,0.0738,0.0075,0.0013,0.00596,0.921,0.121,0.00445,0.00359,0.0031,4.48,6.272,0.012,0.0017,0.0699,0.12,1.45,0.00265,1.15,0.00926,0.0319
2001-10-13,18.0,0.0125,0.357,0.0019,0.0445,0.00466,0.0318,0.0075,0.0013,0.0013,0.456,0.12,0.00445,0.00175,0.00265,5.16,7.224,0.0412,0.0017,0.0582,0.256,2.55,0.00722,0.738,0.00602,0.0338
2001-10-16,13.5,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
2001-10-20,18.9,0.0332,1.56,0.0019,0.0445,0.00494,0.0664,0.0075,0.0013,0.00306,0.8,0.154,0.00445,0.00175,0.00198,6.6,9.24,0.0759,0.0017,0.0928,0.186,4.77,0.00772,2.13,0.00612,0.0197
2001-10-25,9.5,0.0346,0.27,0.0019,0.0445,0.0016,0.0838,0.0075,0.00608,0.00372,0.667,0.0974,0.00445,0.00175,0.00217,4.05,5.67,0.012,0.0017,0.11,0.243,1.83,0.00697,0.405,0.0019,0.0137
2001-10-28,6.5,0.0125,0.562,0.0019,0.0445,0.0016,0.0241,0.0075,0.0013,0.0013,0.625,0.0572,0.00445,0.00175,0.00095,3.04,4.256,0.0418,0.0017,0.0226,0.544,1.63,0.00265,0.485,0.0019,0.00358
2001-10-31,8.8,0.0125,0.406,0.0019,0.0445,0.00636,0.0727,0.0432,0.0013,0.00367,0.544,0.183,0.0133,0.00377,0.00339,4.3,6.02,0.0723,0.0017,0.0871,0.365,1.98,0.00265,1.04,0.00518,0.0274
2001-11-03,9.2,0.0125,0.543,0.0019,0.0445,0.0033,0.0633,0.0075,0.0013,0.00278,0.534,0.0672,0.00445,0.00175,0.00095,4.52,6.328,0.0567,0.0017,0.076,1.19,2.48,0.00265,1.2,0.0019,0.00876
2001-11-06,5.9,0.0125,0.381,0.0019,0.0445,0.0016,0.0564,0.0075,0.0013,0.0013,0.526,0.0591,0.00445,0.00175,0.00095,3.23,4.522,0.012,0.0017,0.0443,0.446,1.26,0.00265,0.705,0.0019,0.0158
2001-11-09,7.9,0.0125,0.601,0.0019,0.0445,0.0016,0.0702,0.0075,0.0013,0.00485,0.648,0.101,0.00445,0.00175,0.00095,4.01,5.614,0.0747,0.0017,0.0787,1.22,2.05,0.00834,0.73,0.0019,0.011
2001-11-15,35.7,0.0375,2.57,0.00386,0.0445,0.0161,0.213,0.0392,0.0013,0.0151,3.82,0.528,0.00445,0.0111,0.0032,14.7,20.58,0.145,0.00344,0.247,0.282,6.61,0.0221,2.71,0.00678,0.0733
2001-11-18,19.8,0.0125,0.883,0.0019,0.0445,0.00779,0.051,0.124,0.0013,0.00406,1.55,0.194,0.00445,0.00488,0.00095,10.2,14.28,0.116,0.0017,0.0707,0.474,2.35,0.00265,2.62,0.0019,0.0231
2001-11-21,7.9,0.0125,0.433,0.0019,0.0445,0.00339,0.0413,0.0075,0.0013,0.00438,0.967,0.101,0.00445,0.00175,0.00095,3.86,5.404,0.0476,0.0017,0.0475,0.48,1.55,0.0232,1.99,0.0019,0.017
2001-11-24,11.1,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
2001-11-27,22.2,0.0125,3.25,0.0019,0.0445,0.00692,0.037,0.171,0.0013,0.0065,1.14,0.165,0.00914,0.00443,0.00203,6.62,9.268,0.0582,0.0017,0.0474,1.31,4.91,0.0173,7.06,0.00433,0.0271
2001-12-03,23.5,0.0125,2.85,0.0019,0.0445,0.00843,0.209,0.0271,0.0013,0.0106,1.35,0.219,0.0103,0.00617,0.00217,8.37,11.718,0.189,0.0017,0.0801,1.68,5.14,0.016,6.44,0.00508,0.0564
2001-12-06,21.8,0.0125,1.7,0.0019,0.0445,0.0104,0.0838,0.0075,0.0013,0.00664,1.79,0.266,0.0104,0.00744,0.00245,9.29,13.006,0.0972,0.0017,0.0966,1.52,4.57,0.019,1.87,0.00801,0.0582
2001-12-09,8.0,0.0125,1.2,0.0019,0.0445,0.0016,0.0109,0.0075,0.0013,0.0013,0.389,0.0223,0.00445,0.00175,0.00095,2.77,3.878,0.012,0.0017,0.0095,0.809,2.62,0.00265,2.08,0.0019,0.00438
2001-12-12,17.7,0.0125,2.32,0.0019,0.0445,0.00892,0.0511,0.0237,0.0013,0.0013,0.688,0.0713,0.00445,0.00175,0.00471,5.65,7.91,0.0549,0.0017,0.0713,1.55,4.68,0.00265,4.7,0.00633,0.024
2001-12-15,4.6,0.0125,0.386,0.00735,0.0445,0.0016,0.022,0.0075,0.0013,0.0013,0.125,0.0306,0.00445,0.00175,0.00095,2.84,3.976,0.0533,0.0017,0.0095,0.913,1.22,0.00265,0.389,0.0019,0.00175
